Cultivar,PI_Num
F1-00-111,NA
F54-168,NA
F55-1766,NA
F55-217,NA
F55-224,NA
F55-255,NA
F55-310,NA
F55-375,NA
F55-377,NA
F55-822,NA
F55-822A,NA
F55-861,NA
F55-941,NA
F55-978,NA
F56-3460,NA
F56-3492,NA
F57-1471,NA
F57-1471,NA
F57-467,NA
F57-481,NA
F57-6279,NA
F57-734,NA
F57-735,NA
F57-784,NA
F57-868,NA
F57-871,NA
F57-873,NA
F57-879,NA
F58-3726,NA
F58-3734,PI 548666
F58-3786,NA
F58-5788,NA
F58-6217,NA
F58-6421,NA
F59-1362,NA
F59-1505,NA
F59-1851,NA
F59-2008,NA
F59-2043,NA
F59-2496,NA
F59-2643,NA
F59-693,NA
F59-7-21,NA
F60-2252,NA
F61-1864,NA
F61-2886,NA
F61-3118,NA
F61-3132,NA
F62-1058,NA
F62-1080,NA
F62-1091,NA
F62-1770,NA
F62-2184,NA
F62-2953,NA
F62-3180,NA
F62-3193,NA
F62-3414,NA
F62-3461,NA
F63-3938,NA
F63-3999,NA
F63-4000,PI 548662
F64-1683,NA
F64-1881,NA
F64-1917,NA
F64-1928,NA
F64-2505,NA
F64-2570,NA
F64-2571,NA
F64-2597,NA
F64-2778,NA
F64-3494,NA
F65-1120,NA
F65-1133,NA
F65-1376,NA
F65-1753,NA
F66-1016,NA
F66-1062,NA
F66-1080,NA
F66-1109,NA
F66-1166,PI 548664
F66-1303,NA
F66-1534,NA
F66-1689,NA
F66-216,NA
F66-242,NA
F66-270,NA
F66-550,NA
F66-648,NA
F66-698,NA
F67-1749,NA
F67-1806,NA
F67-3673,NA
F67-3944,NA
F67-3970,NA
F67-4153,NA
F68-1004,NA
F68-1018,NA
F68-1025,NA
F68-1027,NA
F68-1033,NA
F68-1180,NA
F68-1577,NA
F68-2507,NA
F70-2060,NA
F70-2061,NA
F70-2207,NA
F70-3215,NA
F70-3374,NA
F70-3380,NA
F70-3390,NA
F70-3796,NA
F71-1004,NA
F71-1138,NA
F71-1180,NA
F71-1735,NA
F72-6460,NA
F72-6745,NA
F72-6831,NA
F73-3376,NA
F73-6041,NA
F73-7082,NA
F73-7377,NA
F73-7571,NA
F74-1349,NA
F74-1468,NA
F74-1493,NA
F74-1497,NA
F74-1518,NA
F74-57,NA
F76-8757,NA
F76-8827,PI 548970
F76-8846,NA
F77-1576,NA
F77-1661,NA
F77-1790,NA
F77-1793,NA
F77-1797,PI 548665
F77-1840,NA
F77-1880,NA
F77-1965,NA
F77-1981,NA
F77-1995,NA
F77-2000,NA
F77-2122,NA
F77-2658,NA
F77-6790,NA
F77-6903,NA
F77-7016,NA
F77-7142,NA
F77-7449,NA
F77-7450,NA
F78-8846,NA
F79-4299,NA
F79-4589,NA
F79-4696,NA
F79-4860,NA
F79-6429,NA
F8-291,NA
F80-3508,NA
F80-3602,NA
F81-2815,NA
F81-5428,NA
F82-1739,NA
F82-1820,NA
F82-1851,NA
F83-1648,NA
F83-1918,PI 548971
F83-1960,NA
F83-1969,NA
F83-2048,NA
F83-2184,NA
F83-5568,NA
F83-7848,NA
F84-1569,NA
F86-1456,NA
F87-4017,NA
F88-8626,NA
F88-8662,NA
F88-8692,NA
F88-8723,NA
F88-9160,NA
F89-4067,NA
F90-3126,NA
F91-1419,NA
F92-1792,NA
Fabulin,PI 548671
FAM94-41-3,NA
Faribault,NA
Fayette,PI 518674
FC 03654,NA
FC 04007B,NA
FC 04910,NA
FC 29333,PI 438495
FC 30967-W,NA
FC 31122,NA
FC 31592,NA
FC 31596,NA
FC 31745,NA
FC 32176,NA
FC 33243,NA
Felix,PI 572245
FFR 111,PI 556519
FFR 193,PI 565487
FFR 224,PI 556577
FFR 253,PI 559397
FFR 299,PI 559398
FFR 335,PI 556576
FFR 343,PI 559399
FFR 352,PI 565488
FFR 373,PI 559400
FFR 398,PI 556905
FFR 439,PI 594353
FFR 444,PI 556546
FFR 464,PI 540877
FFR 474,PI 595108
FFR 493,PI 590232
FFR 500,PI 568238
FFR 514,PI 595109
FFR 542,PI 583370
FFR 544,NA
FFR 553,PI 590233
FFR 555,NA
FFR 560,PI 556711
FFR 561,PI 556826
FFR 563,PI 583371
FFR 565,PI 556876
FFR 583,PI 590234
FFR 595,PI 561576
FFR 606,PI 542066
FFR 646,PI 542067
FFR 663,PI 590235
FFR 666,PI 556479
FFR 668,PI 556620
FFR 695,PI 548834
FFR 731,PI 568239
FFR 777,PI 556478
FG-5,NA
FG31-3,NA
FH 22-815,NA
FH 31-3,NA
FH22-815,NA
FH31-3,NA
Fillmore,NA
Fiskeby,NA
Fiskeby III,PI 438471
Fiskeby V,PI 360955
Flambeau,PI 548325
Flint,PI 595843
Flyer,PI 534646
Ford,PI 548562
Forrest,PI 548655
Foster,PI 548970
Fowler,PI 613695
FR51 IV,NA
FR61 I,NA
Franklin,PI 548563
Freeborn,PI 592389
Freedom,PI 636463
Fremont,PI 548564
Fukuyutaka,NA
Funk's Delicious,NA
FWH57-1,NA
G. soja,NA
G00-3083,NA
G00-3209,NA
G00-3213,NA
G00-3234,NA
G00-3322,NA
G00-3364,NA
G00-3880,NA
G00-4071,NA
G00167G017,NA
G00450T009,NA
G01-2633,NA
G01-PR16,PI 659503
G01-PR33,NA
G01-PR6,NA
G01-PR68,NA
G02-G176376,NA
G02-G176376 RR,NA
G02-G42164 RR,NA
G03-1187 RR,NA
G03-1364 RR,NA
G03-1569 RR,NA
G03-1668 RR,NA
G03-2014 RR,NA
G03-2018 RR,NA
G03-2148 RR,NA
G03-2282 RR,NA
G03-2388 RR,NA
G03-2394 RR,NA
G03-2461 RR,NA
G03-364 RR,NA
G03-680 RR,NA
G03-695 RR,NA
G03-821,NA
G03-825 RR,NA
G03-889 RR,NA
G03-899 RR,NA
G03-926 RR,NA
G03-952 RR,NA
G03-G1126RR,NA
G03-G113169RR,NA
G04-1618 RR,NA
G04-163 RR,NA
G04-2215 RR,NA
G04-236 RR,NA
G04-2414 RR,NA
G04-2656 RR,NA
G04-2913 RR,NA
G04-2947 RR,NA
G04-3248 RR,NA
G04-G2261 RR,NA
G05-1102 RR,NA
G05-1200 RR,NA
G05-1209 RR,NA
G05-1481 RR,NA
G05-2324 RR,NA
G05-2468 RR,NA
G05-2505 RR,NA
G05-3758 RR,NA
G05-4237 RR,NA
G06-2460 RR,NA
G06-2507 RR,NA
G06-2957 RR,NA
G06-3182 RR,NA
G06-3182RR,NA
G06-5287 RR,NA
G07-1185 RR,NA
G07-1285 RR,NA
G07-1363 RR,NA
G07-1366 RR,NA
G07-1450 RR,NA
G07-1460 RR,NA
G07-1463 RR,NA
G07-2879 RR,NA
G07-3192 RR,NA
G07-3496 RR,NA
G07-3557 RR,NA
G07-3651 RR,NA
G07-3674 RR,NA
G07-3691 RR,NA
G07-3772 RR,NA
G07-3774 RR,NA
G07-3796 RR,NA
G07-3839 RR,NA
G07-6012,PI 672992
G07-6029,PI 672993
G08-1166 RR,NA
G08-1212 RR,NA
G08-1253 RR,NA
G08-1569 RR,NA
G08-1799 RR,NA
G08-2864 RR,NA
G08-2869 RR,NA
G08-3279 RR,NA
G08-3282 RR,NA
G08-3323 RR,NA
G08-3658 RR,NA
G08-3795 RR,NA
G08-3808 RR,NA
G08-3848 RR,NA
G08-4171 RR,NA
G08-4200 RR,NA
G08-5122 RR,NA
G08-5212 RR,NA
G08PR-339,NA
G08PR-394,PI 667741
G09-1281 RR,NA
G09-1754 RR,NA
G09-2369 RR,NA
G09-2403 RR,NA
G09-2416 RR,NA
G09-3202R2,NA
G09PR-54329R2,NA
G09PR-80,PI 667742
G10-2479 RR,NA
G10-3192 RR,NA
G10-3429 RR,NA
G10-3833 RR,NA
G10-3896 RR,NA
G10-3913R2,NA
G10-3954R2,NA
G10-3968R2,NA
G10PR-10,NA
G10PR-224R2,NA
G10PR-56248,NA
G10PR-56264R2,NA
G10PR-56288R2,NA
G10PR-56330R2,NA
G10PR-56351R2,NA
G10PR-56389,NA
G10PR-56406R2,NA
G10PR-56444R2,NA
G10PR-86R2,NA
G11-1057R2,NA
G11-1162R2,NA
G11-1397R2,NA
G11-1591R2,NA
G11-1614R2,NA
G11-1633R2,NA
G11-1762R2,NA
G11-1806R2,NA
G11-1880R2,NA
G11-1984R2,NA
G11-2294R2,NA
G11-2334R2,NA
G11-2663R2,NA
G11-2675R2,NA
G11-2815R2,NA
G11PR-209R2,NA
G11PR-266R2,NA
G11PR-407R2,NA
G11PR-418R2,NA
G11PR-56151R2,NA
G11PR-56158R2,NA
G11PR-56183R2,NA
G11PR-56232R2,NA
G11PR-56238R2,NA
G12-1475R2,NA
G12-2062R2,NA
G12-2103R2,NA
G12-2259R2,NA
G12-6386,NA
G12-6543,NA
G13-1269R2,NA
G13-2021R2,NA
G13-2114R2,NA
G13-2369R2,NA
G13-2454R2,NA
G13-2755R2,NA
G13-2842R2,NA
G13-2947R2,NA
G13-3461R2,NA
G13-6241,NA
G13-6299,PI 682087
G14-1408R2,NA
G14-1632R2,NA
G14-1665R2,NA
G14-1755R2,NA
G14-2478R2,NA
G14-2622R2,NA
G14-2737R2,NA
G14-2888R2,NA
G14-3268R2,NA
G14-3624R2,NA
G14-4098R2,NA
G14-4191R2,NA
G14-4316R2,NA
G14-4364R2,NA
G14-4396R2,NA
G14-4515R2,NA
G14-6063,NA
G15PR-302,NA
G15PR-340,NA
G15PR-342,NA
G15PRLL-953,NA
G15PRLL-989,NA
G2436A,NA
G3-9201,NA
G79-945,NA
G80-1011,NA
G80-1413,PI 522236
G80-1515,NA
G81-152,NA
G81-1949,NA
G81-234,PI 542712
G81-2949,NA
G82-2820,NA
G82-2933,NA
G82-3458,NA
G82-481,NA
G83-12,NA
G83-1243,NA
G83-198,NA
G83-266,PI 553045
G83-559,NA
G83-644,NA
G83-969,NA
G84-234,NA
G84-3185,PI 572238
G85-373,NA
G86-1195,NA
G86-1267,NA
G86-1434,NA
G87-1968,NA
G87-3533,NA
G88-3129,NA
G88-3266,PI 595645
G89-1053,NA
G89-146,NA
G89-2223,PI 602597
G89-2272,NA
G89-2328,NA
G89-300,NA
G89-375,NA
G89-9111,NA
G90-1551,PI 612157
G90-1669,NA
G90-3258,NA
G90-R1151E,NA
G91-151,NA
G91-221,NA
G91-2244,NA
G91-270,NA
G91-291,NA
G92-1110,NA
G92-1306,NA
G92-1557,NA
G92-2167,NA
G92-2219,NA
G92-2381,NA
G92-2388,NA
G93-1749,NA
G93-1914,NA
G93-2225,NA
G93-3034,NA
G93-9009,NA
G93-9223,PI 595099
G94-1223,NA
G94-1448,NA
G94-1559,NA
G94-1572,NA
G94-1917,NA
G94-3117,NA
G95-179,NA
G95-2484,NA
G95-2567,NA
G95-2853,NA
G95-2935,NA
G95-346,NA
G96-1170,NA
G96-1797,NA
G96-2272,NA
G97-1387,NA
G97-1417,NA
G97-1419,NA
G97-1486,NA
G97-2449,NA
G97-3149,NA
G98-1053,NA
G98-1420,NA
G98-2641,NA
G98-2866,NA
G98-3157,NA
G98-3520,NA
G98-465,NA
G98-5393,NA
G98SF114,NA
G99-1166,NA
G99-1308,NA
G99-2172,NA
G99-2604,NA
G99-2678,NA
G99-2721,NA
G99-2982,NA
G99-3211,NA
G99-4158,NA
Ga58-33,NA
Ga59-895,NA
Ga70-163,NA
Ga70-276,NA
Ga72-663,PI 553042
Ga72-666,NA
Ga76-316,NA
Ga78-1011,NA
Ga78-2488,NA
Ga78-2708,PI 553047
Ga79-402,PI 511813
Ga79-945,NA
Ga80-1413,NA
Gail,PI 548978
Garst AgriPro B99-17498,NA
Garst H-2285,NA
GASF98-114,NA
GaSoy,NA
GaSoy 17,PI 553046
GaT71-1088,PI 553046
GaT72-555,NA
GaT73-24,NA
GaT74-10,NA
GaT74-25,NA
GaT75-731,NA
Gatan,PI 548454
Gateway511,NA
GC00138-29,NA
GCS Raydor,PI 597929
GCS6009RR,NA
Geden Shirazu,PI 227557
General,PI 593463
Georgia 723,NA
Georgia 731,NA
GH X-201,NA
GH03-1,NA
GH03-3,NA
Gibson,PI 548330
GK-67,PI 556716
GL 2250,PI 556672
GL 2552,PI 556673
GL4408D55-G0RN,NA
GL4708A1-D0YN,NA
Glaborous,NA
Glabrous,NA
Glacier,PI 592523
Glenn,PI 658014
Glenwood,PI 513382
GLL0050,PI 677229
GLL0059,PI 677230
Glycine Max,NA
Glycine Soja,NA
GM_A19788,NA
Gnome,PI 548565
Gnome 85,PI 543857
Gnome Rps1-k,PI 543857
GO1010024,PI 669392
GO1010146,PI 669389
GO1110272,PI 672040
GO1112037,PI 672041
Gogaku,PI 594172
Golden Harvest 2285,NA
Golden Harvest 24040,NA
Golden Harvest H-2285,NA
Golden Harvest H-2632,NA
Golden Harvest H2632,NA
Golden Harvest H2885,NA
Golden Harvest X33686,NA
Golden Harvest X33802,NA
Goldsoy,PI 548332
Gordon,PI 553047
Govan,PI 548979
GP 26062,NA
GP 26082,NA
GP-164,NA
GR20521,PI 681601
GR8836,PI 534647
GR8936,PI 534648
Graham,PI 594922
Grande,PI 548567
Granite,PI 592524
Grant,PI 548568
Gregg,PI 510675
GT 1200,PI 556555
GT 1250,PI 556603
GT 1310,PI 556556
GT 1380,PI 556609
GT 1440,PI 556616
Gutwein 180,PI 556520
Gutwein 221,PI 556570
Gutwein 225,PI 556674
Gutwein 421,PI 556541
GXR 9648,NA
H00180,NA
H02173,NA
H02353,NA
H04385,NA
H04433,NA
H1,NA
H10042,NA
H106-461,NA
H113-461,NA
H115-461,NA
H131-463,NA
H13116,NA
H133-461,NA
H13501,NA
H14025,NA
H14521,NA
H15345,NA
H15548,NA
H16-461,NA
H167-463,NA
H170-461,NA
H2,NA
H20771,NA
H20771-9,PI 548580
H21162,NA
H21793,NA
H21793-7,PI 548579
H22-461,NA
H24-463,NA
H24088,NA
H24157-4,PI 548612
H25-461,NA
H257-463,NA
H2804,NA
H29-461,NA
H3,NA
H3665,NA
H38-461,NA
H4,NA
H5,NA
H50-461,NA
H5350,NA
H5S,NA
H6,NA
H6150,NA
H6217,NA
H6403,NA
H75-5605,NA
H78-168,NA
H8,NA
H841635,NA
H8448,PI 562629
H8558,PI 561712
H88-2546,NA
H9,NA
H90-461,NA
HA82-168018,NA
Habaro,PI 548336
Haberlandt,PI 548456
Hack,PI 548569
Hagood,PI 555453
Hale 3,NA
Hale Ogden #12,NA
Hale Ogden #2,NA
Hamilton,PI 540555
Hamlin,PI 642459
Hampton,PI 614156
Hampton 266,NA
Harbin 92,NA
Harcor,PI 548570
Hardee,PI 548666
Hardin,PI 548526
Hardin 91,NA
Hardome,PI 279648
Hark,PI 548551
Harlon,PI 548571
Harly,PI 548572
Harman,PI 548340
Harmony,NA
Haroson,PI 548641
Harosoy,PI 548573
Harosoy 63,PI 548575
Harper,PI 548558
Harper 87,PI 518667
Harper BC,NA
Harrel,NA
Hartwig,PI 543795
Hartz 4152,PI 592533
Hartz 4464,PI 561191
Hartz 4994,PI 592748
Hartz 4994RR,PI 599598
Hartz 4998RR,PI 598359
Hartz 507,PI 561596
Hartz 5088,PI 561599
Hartz 5164,PI 556834
Hartz 5171,PI 556721
Hartz 5240,PI 559924
Hartz 5252,PI 556718
Hartz 5350,PI 583737
Hartz 5370,PI 556719
Hartz 5545,NA
Hartz 5566,PI 561597
Hartz 564,PI 598223
Hartz 608,PI 564742
Hartz 6130,PI 556803
Hartz 616,PI 595622
Hartz 6200,PI 556917
Hartz 6255,PI 592749
Hartz 6372,PI 556919
Hartz 6381,NA
Hartz 6383,PI 556720
Hartz 6383R,PI 556804
Hartz 6385,PI 556835
Hartz 639,PI 542982
Hartz 6397,PI 564745
Hartz 6686,PI 556918
Hartz 6686RR,NA
Hartz 7110,PI 556833
Hartz 7126,PI 556717
Hartz 7190,PI 542972
Hartz 8112,PI 556806
Hartz 914,PI 538024
Hartz 9190,PI 556805
Hartz 922,PI 542053
Hartz 930,PI 556699
Hartz 936X,PI 556619
Hartz H3570,NA
Hartz H4464,NA
Hartz H4464 RR,NA
Hartz H4994,PI 599598
Hartz H5033,NA
Hartz H5088,NA
Hartz H5164,NA
Hartz H5370,PI 556719
Hartz H5545,NA
Hartz H5810,NA
Hartz H6381,NA
Hartz H7242 RR,NA
Hartz H7703,NA
Hartz H78-938,NA
Harwood,PI 548576
Haskell,PI 572238
Haskell-RR,NA
Hawkeye,PI 548577
Hawkeye 63,PI 548578
Hawkson,PI 556823
Hayes,PI 542709
Hayseed,PI 548459
HBK 4890,NA
HBK 5990,PI 602975
HBK 5991,PI 612443
HBK 6600,PI 602962
HC Amcor,PI 546375
HC Elf BC,NA
HC Elf-EB,NA
HC Gnome Rps1-k,PI 543857
HC Hobbit BC,PI 546373
HC Sprite BC,PI 546374
HC74-3400,NA
HC74-634RE,NA
HC74-643RE,NA
HC74-678,NA
HC76-3840,NA
HC76-4030,NA
HC76-4449,NA
HC77-1418,NA
HC77-2204,PI 536636
HC77-2205,NA
HC77-878,NA
HC77-951,NA
HC78-1093,NA
HC78-1119,NA
HC78-1279,NA
HC78-1292,NA
HC78-1318,NA
HC78-1651,NA
HC78-1884,NA
HC78-1931,NA
HC78-2509,NA
HC78-2510,NA
HC78-261,NA
HC78-279,NA
HC78-2836,NA
HC78-349,NA
HC78-350,NA
HC78-353,NA
HC78-354,NA
HC78-356,NA
HC78-523,PI 540552
HC78-660,NA
HC78-676,NA
HC78-826,NA
HC79-1643,NA
HC79-1644,NA
HC79-1737,NA
HC79-2562,NA
HC79-478,NA
HC80-1054,NA
HC80-1092,NA
HC80-1211,NA
HC80-1742,NA
HC80-1756,NA
HC80-1944,NA
HC80-1946,NA
HC80-585,NA
HC80-586,NA
HC80-587,NA
HC80-592,NA
HC80-597,NA
HC80-969,NA
HC80-976,NA
HC81-1134,NA
HC81-1511,NA
HC81-2104,NA
HC81-2792,NA
HC81-799,NA
HC81-817,NA
HC82-1386,NA
HC82-3452,NA
HC82-4965,NA
HC82-5044,NA
HC82-5934,NA
HC82-6195,NA
HC83-2408,NA
HC83-2546,NA
HC83-3834,NA
HC83-4507,NA
HC83-4532,NA
HC83-4532BC,NA
HC83-4589,NA
HC83-613-1,NA
HC84-1060,NA
HC84-180,NA
HC84-2612,NA
HC84-4850,NA
HC84-4851,NA
HC84-4874,NA
HC84-553-1,NA
HC85-1440,NA
HC85-164,NA
HC85-2206,NA
HC85-2206,NA
HC85-275,NA
HC85-279,NA
HC85-477,NA
HC85-5273,NA
HC85-602,NA
HC85-604,NA
HC85-606,NA
HC85-607,NA
HC85-618,NA
HC85-6484,NA
HC85-6500,NA
HC85-6521,NA
HC85-6577,NA
HC85-6611,NA
HC85-6716,NA
HC85-6723,NA
HC85-6723B,NA
HC85-6724,NA
HC85-690,NA
HC86-4367,NA
HC88-4532 BC,NA
HC89-2170,PI 593645
HC89-2237,NA
HC91-1354,NA
HC91-3672,NA
HC93-21PR,NA
HC94-35PR,NA
HC94-600,NA
HC94-62PR,NA
HC94-69PR,NA
HC94-81PR,NA
HC94-82PR,NA
HC94-85PR,NA
HC97-545,NA
HC99-2763,NA
HC99-2846,NA
HD 369,NA
Hei Nong 37,PI 592921
Hei-lung,NA
Henderson,PI 665225
Hendricks,PI 583365
Hendricks RR,NA
Henry,PI 548579
Herman,PI 247678
HF00-022,NA
HF01-0821,NA
HF03-534,NA
HF03-546,NA
HF91-078,PI 595843
HF92-080,NA
HF93-194,NA
HF9667-2,NA
HF98-023,PI 633608
HF99-019,NA
HFPR-4,NA
HHP,NA
HI0902015,NA
HI0912795,NA
HI0912797,PI 665489
HI1016529,PI 669406
HI1016622-2,PI 669421
HI1016703-1,PI 669422
HI1016703-2,PI 669407
HI1017010,PI 669408
HI1018109,PI 669409
HI1019014-1,PI 669405
HI1110907,PI 669420
HI1112509,PI 672042
HI1114914,PI 672043
HI1115518-1,PI 672044
Higan,PI 548342
Highpro1,PI 678444
Hill,PI 548654
Hill Seed 2700,NA
Hinson Long Juvenile,PI 629015
HL17619014,NA
HL17619026,NA
HL3060460,NA
HL3060483,NA
HL3356756,NA
HL5078266,NA
HL8180531,NA
HL9476156,NA
HM09-W084,NA
HM09-W133,NA
HM09-W146,NA
HM11-H015,NA
HM11-H016,NA
HM13-W045,NA
HM13-W073,NA
HM13-W156,NA
HM14-B045,NA
HM14-C010,NA
HM14-C033,NA
HM14-C086,NA
HM14-E042,NA
HM14-E087,NA
HM14-G047,NA
HM14-W070,NA
HM14-W146,NA
HM15-H006,NA
HM15-H050,NA
HM15-H054,NA
HM15-J027,NA
HM15-J049,NA
HM15-W110,NA
HM15-W153,NA
HM16-L079,NA
HM16-L084,NA
HM16-M006,NA
HM16-M015,NA
HM16-M016,NA
HM16-M019,NA
HM16-W150,NA
HM16-W248,NA
HM8469,PI 534646
HM8470,NA
HM8471,PI 534645
HM8473,NA
HM8482,PI 542709
HM8486,PI 534648
HM8536,NA
HM8597,PI 542711
HM8625,PI 542710
HM8632,NA
HM8634,NA
HM8635,NA
HM8636,NA
HM8734,NA
HM8735,NA
HM8776,NA
HM8777,NA
HM8778,NA
HM8890,NA
Hobbit,PI 540551
Hobbit 87,PI 546373
Hobson,PI 556566
Hodgson,PI 548561
Hodgson 78,PI 548581
Hodgson 87,NA
HOE,NA
Hokien,NA
Hol-672,NA
HOL-833,NA
Holladay,PI 572239
Holmberg 201-14-18,NA
Holmberg 744-2,PI 194641
Holmberg 827-4,NA
Holmberg 840-1-3,NA
Holmberg 840-2-7,PI 438475
Holmberg 840-7-3,NA
Holt,PI 561858
Hong Kong,NA
Hood,PI 548980
Howard,PI 548971
Hoyt,PI 540552
HP 20-20,PI 556604
HP 2530,PI 556677
HP 3033S,PI 556678
HP 3700,PI 556610
HP 4800,PI 556676
HP201,NA
HP202,NA
HP203,NA
HP204,NA
HP5363-5-8,NA
HR09-008,PI 678444
HS 220,PI 556605
HS 235,PI 556624
HS 2455,PI 556920
HS 2533,PI 540876
HS 265,PI 556606
HS 266,PI 556921
HS 2821,PI 556922
HS 302,PI 556829
HS 321,PI 556830
HS 339,PI 556831
HS 348,PI 556832
HS 358,PI 556923
HS 4011,PI 556924
HS0-3243,NA
HS0-3248,NA
HS1-3641,NA
HS1-3661,NA
HS1-3886,NA
HS1-3907,NA
HS1-7116,NA
HS3-2523,NA
HS3-2669,NA
HS3-2840,NA
HS4-9864,NA
HS5-3417,NA
HS6-3971-R,NA
HS6-3973A,NA
HS6-3976,NA
HS7W-190,NA
HS8-3463,NA
HS8-6348,NA
HS8-6390,NA
HS84-6224,NA
HS84-6247,NA
HS84-6276,NA
HS86-4367,NA
HS87-2067,NA
HS87-4087,NA
HS87-5720,NA
HS88-4906,NA
HS88-4909,NA
HS88-4988,NA
HS88-6786,NA
HS88-7363,NA
HS89-2966,NA
HS89-3078,NA
HS89-3261,NA
HS90-3487,NA
HS90-3653,PI 593463
HS90-37100,NA
HS91-4523,PI 596407
HS91-4825,NA
HS93-135,NA
HS93-1882-41,NA
HS93-4118,PI 614155
HS94-4530,NA
HS94-4533,NA
HS94-4544,PI 612594
HS94-9053,NA
HS95-2744,NA
HS96-3332,NA
HS96-3347,NA
HS96-7942,NA
HS97-4544,NA
HS97-4555,NA
HS97-5261,NA
HS97-5609,NA
HS98-3216,NA
HS98-3407,NA
HS98-3628,NA
HS98-3755,PI 642768
HS98-7826,NA
HS99-4045,NA
HS99-4256,NA
HS99-4426,NA
HS99-5217,NA
HSC 591,PI 561578
HSC 623,PI 560300
HSC 721,PI 538774
HSC 741,PI 570653
HSC B2,NA
HSC B2J,PI 556893
HSC Baldwin,PI 556894
HT261 STS,PI 584326
HT331 STS,PI 584327
HT381 STS,PI 584328
HT4203,PI 556753
HT5203,PI 556752
HT551STS,PI 594352
Hudson Manchu,PI 548369
Hutch,NA
Hutcheson,PI 518664
Hutcheson-RR,NA
Hutton,PI 548662
HW 79022,NA
HW6942-15-6,NA
HW74-3382,NA
HW74-3384,PI 536635
HW74-3385,PI 540551
HW74-3400,NA
HW74-3884,PI 536635
HW74-618,PI 548565
HW7847,NA
HW79002,NA
HW79015,NA
HW79022,NA
HW79054,NA
HW79116,NA
HW79149,NA
HW8008,NA
HW8028,NA
HW8033,PI 548634
HW8039,NA
HW8067,PI 548614
HW8123,NA
HW8130,NA
HW8185,PI 548529
HW8221,NA
HW8223,NA
HW8225,NA
HW8233,NA
HW8235,NA
HW8236,NA
HW8241,NA
HW8371,NA
Hy 574,PI 590248
HY 663,PI 599311
HY 798,PI 576155
HY798,NA
HYP 574,NA
HyPerformer AP 4880,NA
Hyuuga,PI 506764
IA1006,NA
IA1007,NA
IA1008,NA
IA1009,NA
IA1022,NA
IA2007,NA
IA2008,NA
IA2008R,NA
IA2012,NA
IA20121,NA
IA2017,NA
IA2021,NA
IA2022,NA
IA2033,NA
IA2034,NA
IA2036,NA
IA2038,NA
IA2042,NA
IA2050,NA
IA2052,NA
IA2053,NA
IA2062,NA
IA2064,NA
IA2065,NA
IA2068,NA
IA2078,NA
IA2102,NA
IA3001,NA
IA3003,NA
IA3004,NA
IA3005,NA
IA3006,NA
IA3010,NA
IA3011,NA
IA3017,NA
IA3023,NA
IA3024,NA
IA3025,NA
IA3026,NA
IA3042,NA
IA3048,NA
IA4005,NA
IAC-100,NA
II-42-37,NA
II63-217Y,NA
Ike,PI 556524
Illini,PI 548348
Illini 3546N,NA
Illini 3648N,NA
Illini sel.,NA
Improved Pelican,PI 548461
Ina,NA
Iroquois,PI 593259
IRV Ex4731,NA
IVR 1120,NA
IVR 4311,NA
IVR 4731,NA
IVR Ex4426,NA
IVR Ex4428,NA
IVR Ex4731,NA
IVR Ex5003,NA
IX93,NA
IX93-100,NA
Iyo,NA
J-112,PI 556632
J-231,PI 556786
J-251,NA
J-72,PI 556756
J-8287,PI 556755
J-8389,PI 556757
J-84A,PI 556531
J.E.W. 45,NA
J00-1,NA
J00-2,NA
J103,PI 556633
J22,NA
J335752,PI 610443
J420649,NA
J558002,NA
J634773,NA
J74-116,NA
J74-122,NA
J74-123,NA
J74-35,NA
J74-39,NA
J74-40,NA
J74-45,NA
J74-47,NA
J74-5,NA
J74-51,NA
J74-57,NA
J74-67-7,NA
J74-90,NA
J77-255,NA
J80-293,NA
J80-312,NA
J82,PI 556737
J94-7,PI 613695
J98-32,NA
Ja 53-7-6,NA
JA42,NA
JA53-7-6,NA
Jack,PI 540556
Jackson,PI 548657
Jackson 59,NA
Jacques 1103,NA
Jacques 88,NA
Jacques J102A,NA
Jacques J103,PI 556633
Jacques J231,NA
Japan Black,NA
Jeff,PI 553040
Jewel,NA
JH10032580,NA
JH10032629,NA
JH10955518,NA
JH10955520,NA
JH10955521,NA
JH11944941,NA
JH11944958,NA
JH11944981,NA
JH12376999,NA
JH12377007,NA
JH12377267,NA
JH12377292,NA
JH13336927,NA
JH13337911,NA
JH13337915,NA
JH13884372,NA
JH13885038,NA
JH13885045,NA
JH13895102,NA
JH14820720,NA
JH14820789,NA
JH4267591,NA
JH4268392,NA
JH4282852,NA
JH4603324,NA
JH6676568,NA
JH7380284,NA
JH8069431,NA
JH8069435,NA
Jill,NA
Jim,PI 602897
Jizuka,NA
Jogun,PI 548353
Johnston,PI 508267
JTN 5303,NA
JTN 5503,PI 641938
JTN-01,NA
JTN-033,NA
JTN-4207,NA
JTN-4307,PI 670017
JTN-4308,NA
JTN-4407,NA
JTN-4408,NA
JTN-4507,NA
JTN-4508,NA
JTN-4607,NA
JTN-5104,NA
JTN-5106,NA
JTN-5107,NA
JTN-5108,NA
JTN-5110,NA
JTN-5111,NA
JTN-5203,NA
JTN-5204,NA
JTN-5207,NA
JTN-5208,NA
JTN-5209,NA
JTN-5211,NA
JTN-5303,PI 641937
JTN-5308,NA
JTN-5503,PI 641938
Jupiter,NA
JW-45,NA
JX5789894,NA
K-77,PI 556561
