Female,Male,Cultivar
Unspecified,Unspecified,149
Unspecified,Unspecified,605
Unspecified,Unspecified,2534
Unspecified,Unspecified,9401
(0351-29*Asgrow A4268),(Pioneer P9401*Asgrow A3127),9461
(Pioneer P2981*Asgrow A3127),(Pioneer P2981*(MV2E1*Resnik)),30438
Olympus,MON RR,40656
Asgrow A5403,Hutcheson,98601
Unspecified,Unspecified,98602
Unspecified,Unspecified,99507
Unspecified,Unspecified,133220
133220,Pioneer P93B82,133515
Gnome (6),Williams 82,(HC)Gnome
Unspecified,Unspecified,0351-29
Introduction,NA,059-903
Unspecified,Unspecified,0D032-3118
M10,Capital,11-54-132
(Lincoln (2)*Richland),Korean,11-54-240
Renville,Capital,11-54-53
Unspecified,Unspecified,1YT-75-206013
Arksoy,NA,2-40A
PI 196491,NA,201-14-20
Unknown,Unknown,201-8-29
(Merit*CM145),(M62-173*Holmberg 827-4),231-4-5-1
Various,NA,26-39M
059-903,Hardome,2S11
Unspecified,Unspecified,377-8-1
Unspecified,Unspecified,3D1-11
Forrest (2),(Govan*(Bragg*PI 229358)),4-74-6-3
Unspecified,Unspecified,40-3-2
Unspecified,Unspecified,435.TCS
CLOJ173-6-2,WW115926,4J105-3-4
Holladay,Manokin,5002T
Hutcheson,TN89-39,5601T
Unspecified,Unspecified,560T
Unspecified,Unspecified,574-5
CLOJ173-6-8,(OD032-3118*LG00-6293),5M20-2-5-2
Various,NA,6-40M
D49-2491,Various,629-22-27
Unspecified,Unspecified,680+993+994
Pagoda 2,Fiskeby III,751-8-1-15
680+993+994 (Muncheberg),201-14-20,840-2-7
Williams,Maple Presto,881-57
Tall,OAC88-09,92546-01td
Unspecified,Unspecified,95Y70
Unspecified,Unspecified,96LL2
G93-2225 (6),MON RR,97M50
Unspecified,Unspecified,98820-33
Hutcheson (5),MON RR,99VPI-120RR
Hutcheson (4),MON RR,99VPI-17RR
Unspecified,Unspecified,99VPI-67
Elgin (5),Williams 82,A Elgin BC
Hardin (5),PRX54-33-2,A Hardin BC(6)
Hardin (5),Williams 82,A Hardin BC(k)
Harper (6),Williams 82,A Harper BC
Capital,NA,A-100
Hardome,PI 189950,A-7
Introduction,NA,A.K.
A.K.,NA,A.K. (Harrow)
AgriPro AP1953,LN94-10470,A00-711013
A95-485020,IA2036,A00-711020
Pioneer P9233,IA2036,A00-711025
Pioneer P9233,IA2036,A00-711036
Pioneer P9233,IA2036,A00-711041
Pioneer P9321,IA2036,A00-711042
Pioneer P9233,A95-485020,A00-711063
AgriPro AP1953,IA2038,A00-712012
AgriPro AP1953,Pioneer P9321,A00-712013
Northrup King S20-91,AgriPro AP3355,A00-712040
Pioneer P9233,AgriPro AP1953,A00-712041
AgriPro AP1953,IA3010,A00-812031
Unspecified,Unspecified,A00-882130
A97-874014,A96-492041,A01-409003
A97-874007,AgriPro AP1995,A01-409031
Pioneer P9306,IA1009,A01-410009
A97-874014,A96-492041,A01-511017
A97-874007,AgriPro AP1995,A01-511020
Pioneer P9321,IA1009,A01-512030
U94-2306,IA1009,A01-512036
IA2050,IA1009,A01-512050
A97-874007,IA1009,A01-611005
A97-874014,A96-492058,A01-611037
A97-874014,Pioneer P9321,A01-612016
IA1008,Pioneer P9321,A01-612043
NE1900,Pioneer XB28V99,A02-136021
NE1900,Pioneer XB28V99,A02-136027
NE1900,Pioneer XB28V99,A02-136030
NE1900,Pioneer XB28V99,A02-136031
NE1900,Pioneer XB28V99,A02-236010
NE1900,Pioneer XB28V99,A02-237015
NE1900,Dairyland 94197,A02-336040
A98-983013,Dairyland 97026,A02-337046
Dairyland 88504-11,IA2053,A02-338013
Dairyland 88504-11,IA2053,A02-338039
IA2062,Pioneer XB28V99,A02-338043
Unspecified,Unspecified,A02-381008-891
A97-553018,Pioneer XB27U01,A02-381046
IA2064,Pioneer XB27U01,A02-381100
AgriPro AP93046-A95-3127E,IA2064,A04-444032
Dairyland 98822,A00-711025,A04-545015
Pioneer 93B86,A00-711022,A04-545045
Pioneer P93B66,Sygenta S20-F8,A04-645020
A00-711041,AgriPro X01138P77,A04-645031
Anoka,Mack,A1
AP9,NA,A13
Unspecified,Unspecified,A15025B011
Unspecified,Unspecified,A15025B020
Hark,C1453,A1564
BSR 101,CN210,A17
Dunfield,Linman 533,A18-231
M63-17 ,C1453,A2
BSR 101,"CN210, PI 549112",A20
A89-144003EMS-81,NA,A29
C1426,AP68-315,A3
Illini,Dunfield,A3-117
Illini,Dunfield,A3-118
Richland,Mandell,A3-127
Richland,Mandell,A3-128
Mukden,Dunfield,A3-1411-20
Mukden,Dunfield,A3-1411-27
Mukden,Dunfield,A3-1411-47
Dunfield,Richland,A3-163
Illini,Dunfield,A3-176
Illini,Mandell,A3-360-12
Illini,Dunfield,A3-61
Illini,Dunfield,A3-9
Illini,Dunfield,A3-92
Illini,Dunfield,A31-291
Asgrow A3127 (4),L24,A3127BC3F2-1
L15,AgriPro AP68-1016,A4
Mukden,Dunfield,A41-251
Mukden,Richland,A43-10
A45-251,NA,A43-107
A45-251,NA,A43-108
Mukden,Richland,A43-109
Illini,Dunfield,A43-117
Illini,Richland,A43-118
Richland,Mandell,A43-127
Richland,Mandell,A43-128
Dunfield,Linman 533,A43-14
Mukden,Dunfield,A43-1411-20
Mukden,Dunfield,A43-1411-27
Mukden,Dunfield,A43-1411-47
Richland,B. H. Manchu,A43-143
Dunfield,Linman 533,A43-149
Dunfield,Richland,A43-163
Mukden,Richland,A43-17
Mandarin,Richland,A43-1715-1
Mandarin,Richland,A43-1715-3
Illini,Dunfield,A43-176
Ontario,Richland,A43-2015-28
Richland,Linman 533,A43-32
Mukden,Richland,A43-33
Illini,Mandell,A43-360-12
Illini,Dunfield,A43-61
Illini,Dunfield,A43-9
Illini,Dunfield,A43-92
Mukden,B. H. Manchu,A43-93
Dunfield,Linman 533,A43-94
Mukden,Richland,A43K-884
A43-107,NA,A44-107-12
A43-107,NA,A44-107-4
A43-107,NA,A44-107-5
A43-107,NA,A44-107-7
A43-107,NA,A44-107-8
A43-108,NA,A44-108-12
A43-108,NA,A44-108-6
Dunfield,Linman 533,A44-1128-7
Mandarin,Richland,A44-1715-32
Ontario,Richland,A44-2015-3
Manchuria 13177,L34-12,A44-2728-2
Mukden,Richland,A45-251
Mukden,Linman 533,A45-268
A43-176,NA,A45-2683
Lincoln (2),Richland,A46-440
Lincoln (2),Richland,A46-549
Lincoln (2),Richland,A46K-1011
Lincoln (2),Richland,A46K-1329
Lincoln (2),Richland,A46K-1428-C4
Lincoln (2),Richland,A46K-1801
Lincoln (2),Richland,A46K-549
Lincoln (3),Richland,A47-1953
Lincoln (2),Richland,A47-6102
Lincoln (2),Richland,A47-6103
Lincoln (2),Richland,A47-6323
Lincoln (2),Richland,A47-6402
Lincoln (2),Richland,A47-6520
Lincoln (2),Richland,A47-6629
Lincoln (2),Richland,A47-6831
Lincoln (2),Richland,A47-6905
Adams,Clark,A5-7823
Sac (2),Richland,A50-4745
Kanro (2),Richland,A50-5039
Mandarin (Ottawa),Kanro,A50-6838
Mandarin (Ottawa),Jogun,A50-7401
Richland,Jogun,A50-7445
Richland,Jogun,A50-7537
Lincoln (2),Richland,A50-8618
Lincoln (2),Richland,A50-8618-1
Lincoln (2),Richland,A50-8618-2
Hawkeye,Mandarin (Ottawa),A50K-2206
Lincoln(2),Richland,A50K-3808
Richland,Mandarin (Ottawa),A50K-913
Adams,Blackhawk,A52-4008
Adams (2),Hawkeye,A53-6319
Lincoln,Mandarin (Ottawa),A53-7743-1
Adams,Capital,A54K-1406
Roanoke,Hawkeye,A55-4629-4
Ogden,Capital,A55-5515
Roanoke,Hawkeye,A55-5629
Roanoke,Hawkeye,A55-5629-4
Roanoke,Hawkeye,A55-5740
Hawkeye,Harosoy,A58-1334
Harosoy,Capital,A58-932
Hawkeye,Harosoy,A59-1334
Clark,Chippewa,A59-619
Hawkeye,Chippewa,A59K-2558
Harosoy,Clark,A61-1051
A58-932,NA,A61-439
A59-1334,NA,A61-540
Adams,Harosoy,A61-939
Clark,Chippewa,A62-5405
Clark,Chippewa,A62-5407
Clark,Chippewa,A62-5432
Harosoy,Chippewa,A62-5440
Hawkeye,Chippewa,A62-5504
Provar,(Harosoy 63*PI 84666-1),A66-1240-2
Provar,(Harosoy 63*PI 248406),A66-1441-2
AX56P64-1,FC 31122,A66-1746-9
D94-2491 (4),AX162-12,A71-555-8-1
Wirth,AX210-39-2,A71-5558-1
Corsoy,Wayne,A72-102
Corsoy,Wayne,A72-106
Corsoy,Wayne,A72-107
Amsoy,Wayne,A72-125
Corsoy,Wayne,A72-409
Amsoy,Wayne,A72-507
Amsoy,Wayne,A72-509
Amsoy,Wayne,A72-510
Amsoy,Wayne,A72-511
Amsoy,Wayne,A72-512
Hark,Wayne,A72-513
Hark,Wayne,A72-520
Hark,Wayne,A72-522
Hark,Wayne,A72-523
Hark,Wayne,A72-525
L66L-144,Dunn,A73-12013
Hark,(Provar*(Disoy*Magna)),A73-128
Pike,Wells,A73-19068
Pike,Wells,A73-19084
Pike,L66L-144,A73-20059
Unspecified,Unspecified,A73-21030
Corsoy,IVR Ex4426,A73-22051
Amsoy,(Provar*(Disoy*Magna)),A73-227
Amsoy,(Provar*(Disoy*Magna)),A73-229
IVR Ex4428,Md66-1258,A73-23066
(Korean*((Lincoln (2)*Richland)*(Renville*Capital))),(Amsoy*Wayne),A73-25050
M59-120,IVR 4731,A73-25088
Amsoy,(Provar*(Disoy*Magna)),A73-314
Hark,Wayne,A73D16
M63-17,C1453,A74-101010
C1426,AP68-315,A74-101035
M62-263,IVR Ex4426,A74-102011
Wells,Wye,A74-102037
Pike,Wells,A74-104030
Pike,Beeson,A74-104034
L66L-137,Calland,A74-105021
Amsoy,(Provar*(Disoy*Magna)),A74-201006
Hark,(Provar*(Disoy*Magna)),A74-201010
Beeson,L66-1359,A74-202019
M59-120,IVR 4731,A74-203002
Corsoy,Williams,A74-204028
Beeson,L66-1359,A74-204033
M62-263,Amsoy 71,A74-204034
L66L-137,Calland,A74-302012
M62-263,IVR Ex4426,A74-302030
Corsoy,Williams,A74-303012
L66L-137,Calland,A74-303013
Pike,L66L-144,A74-304009
Wells,Wye,A74-304031
Evans,Williams,A74-306002
M62-275,L66L-144,A74-306008
Pike,Wells,A75-101014
Pike,Wells,A75-101022
C1453,Swift,A75-102032
Pike,Wells (2),A75-103016
AP6,NA,A75-103019
Corsoy (2),(Anoka*Mack),A75-105019
Corsoy (2),(Anoka*Mack),A75-105020
Corsoy (2),(Anoka*Mack),A75-105021
Corsoy (2),(Anoka*Mack),A75-105029
Corsoy (2),(Anoka*Mack),A75-105033
Corsoy (2),(Anoka*Mack),A75-105034
Corsoy (2),L65-1342,A75-10521 &nbsp;
Corsoy (2),(Anoka*Mack),A75-10521 &nbsp;&nbsp;
IVR 4731,Wirth,A75-203014
IVR Ex4428,Woodworth,A75-203036
IVR 4731,Wirth,A75-204018
L15,AP68-1016,A75-302003
L15,AP68-1016,A75-302005
Woodworth,Calland,A75-302017
AP6,NA,A75-305010
Wye,IVR 4731,A75-305022
Corsoy,Williams,A75-305031
Pike,SL12,A75-306005
L15,AP68-1016,A75-332035
Corsoy (5),L65-1342,A75-Corsoy R3
Hark,L61-344,A75D29
AP6,NA,A76-101019
AP6,NA,A76-101024
Corsoy (3),Cutler 71,A76-102009
AP6,NA,A76-102013
AP6,NA,A76-103002
AP6,NA,A76-103003
AP6,NA,A76-201009
AP6,NA,A76-201010
AP6,NA,A76-202015
M60-92,IVR Ex4428,A76-303035
AP6,NA,A76-304002
Unspecified,Unspecified,A76-304005
(Beeson*AP68-1016),(L15*Calland),A76-304019
(Beeson*AgriPro AP68-1016),(L15*Colland),A76-304020
Washington,A72-512,A77-112008
AP6M(S1)C1,NA,A77-112023
Beeson,A72-507,A77-211021
Hodgson,M65-69,A77-212006
L70T-543,Harcor,A77-214022
AP6,NA,A77-214035
AP6,NA,A77-311031
A73-21030,Williams,A77-314013
Coles,A72-507,A77-314014
Coles,A72-507,A77-314017
A72-512,AgriPro 35,A77-315024
Pride B216,Hodgson,A78-121014
Hodgson,Sloan,A78-122028
SRF 350,Pride B216,A78-122031
C1520,Coles,A78-123002
Pride B216,Hodgson,A78-123018
Pride B216,AX900-4-3,A78-125029
Pride B216,AX901-40-2,A78-227012
Pride B216,AX901-40-2,A78-227013
Pride B216,AX901-40-2,A78-227015
Pride B216,AX901-40-2,A78-227016
Pride B216,AgriPro 25,A78-321011
Williams,Sloan,A78-322024
A72-512,Pride B216,A78-324002
A72-512,Williams,A78-325028
AX1390,NA,A78-326032
AP6(2YT)(F4)C1,NA,A79-133019
AP6(1YT)(F4)C2,NA,A79-134008
Pride B216,Cumberland,A79-135010
Pride B216,Land O Lakes 4102,A79-136012
Northrup King S1492,Asgrow A3300,A79-138014
A74-102011,C1523,A79-138024
AP6TW(2YTC)(F4)C1,NA,A79-232005
AP6TW(2YTC)(F4)C1,NA,A79-232026
Pride B216,Cumberland,A79-236002
Pride B216,Cumberland,A79-236003
M68-48,Pride B216,A79-238034
Unspecified,Unspecified,A79-331022
Pride B216,Land O Lakes Max,A79-334010
Unknown,Unknown,A79-336014
A4,Century,A8
(Corsoy*Wayne),A4,A80-143008
Northrup King S1492,A75-204018,A80-144004
Weber,L69U40-16-4,A80-144024
Unspecified,Unspecified,A80-145015
Northrup King S1492,Pella,A80-147002
Northrup King S1492,Pella,A80-147003
C1532,1YT-75-206013,A80-149008
L69U40-16-4,A76-304020,A80-149020
Northrup King S1492,Pella,A80-244003
Unspecified,Unspecified,A80-244035
A74-204034,A80-344003,A80-244036
Northrup King S1492,Weber,A80-245022
A75-204018,Weber,A80-247007
A75-204018,Asgrow A2440,A80-247008
A75-332035,Century,A80-344003
Northrup King S1492,Pella,A80-345005
A75-204018,BSR 301,A80-346029
L69U40-16-4,A76-304020,A80-349012
A75-204018,Century,A81-151026
A76-304020,Asgrow A2656,A81-152006
A76-202015,Century,A81-153003
A76-202015,Schechinger S48,A81-155001
A76-202015,A76-304020,A81-155014
A76-202015,A76-304020,A81-156027
Pride B216,A2,A81-157001
Pride B216,A2,A81-157005
Pride B216,A2,A81-157007
Land O Lakes Max,BSR 302,A81-157013
Pride B216,A2,A81-157024
Schechinger S48,Land O Lakes Max,A81-257031
Schechinger S48,Land O Lakes Max,A81-354025
A76-304020,Land O Lakes Max,A81-355012
Century,A76-304020,A81-356022
A76-103002,A77-211021,A82-161034
Pride B216,A77-211021,A82-161035
Northrup King S1492,Tri-Valley Charger,A82-162023
A77-211021,Tri-Valley Charger,A82-162033
Pride B216 (2),A2,A82-164003
AP6TW(2YT)(F4)C2,NA,A82-167014
A77-211021,Pella,A82-263010
Pride B216,A77-211021,A82-263034
Asgrow A3585,Tri-Valley Charger,A82-264016
AP6TW(2YT)(F4)C2,NA,A82-267015
Asgrow A3585,NAPB HP20-20,A82-361011
A76-202015,Century,A82-363032
Asgrow A3585,Tri-Valley Charger,A82-365028
A78-122031,Tri-Valley Charger,A83-171015
A77-211021,Merschman Washington V,A83-172007
AgriPro AP200,Northrup King S1492,A83-172030
Northrup King S1492,A78-122031,A83-174020
Northrup King S1492,Merschman Washington V,A83-271010
Northrup King S1492,Asgrow A3127,A83-271027
AgriPro AP200,NAPB HS235,A83-272020
Asgrow A3127,Tri-Valley Charger,A83-273009
Asgrow A3127,Tri-Valley Charger,A83-274011
Merschman Washington V,Asgrow A3127,A83-372027
Harper,Asgrow A3127,A84-282019
HW79015,A80-247007,A84-284033
Vinton 81,Hardin,A85-182007
A8,Asgrow A1937,A85-192034
Asgrow A1937,Tri-Valley Charger III,A85-193020
A79-135010,Asgrow Asgrow A1937,A85-193023
A80-149008,Midwest Oilseeds 2050,A85-195005
Elgin,Asgrow A1937,A85-291001
Midwest Oilseeds 3010,Asgrow A1937,A85-291010
Midwest Oilseeds 3010,A8,A85-293030
A8,Elgin,A85-293032
Midwest Oilseeds 3010,A80-245022,A85-298051
A8,Midwest Oilseeds 2050,A85-392026
Midwest Oilseeds 3010,A80-245022,A85-393001
A79-331022,A79-334010,A85-394009
Hack,Asgrow A1937,A86-101009
A80-244036,Asgrow A1937,A86-102004
Jacques 1103,A81-356022,A86-103002
Hack,Asgrow A1937,A86-103027
A80-244036,A80-344003,A86-104011
AP9,NA,A86-186011
Hack,Zane,A86-203004
A81-356022,Zane,A86-203034
Hack,Zane,A86-204022
A81-356022,Hack,A86-301024
A81-356022,Hack,A86-303014
Unspecified,Unspecified,A87-186011
BSR 101,A81-151026,A87-187007
Jacques J103,A81-151026,A87-187020
BSR 101,CN210,A87-195032
BSR 101,CN210,A87-195034
BSR 101,A80-244003,A87-196014
A80-244003,Harper,A87-198005
Hack,A81-157024,A87-198015
Harper,A80-346029,A87-296011
Harper,A80-346029,A87-296012
Pride B152,A80-244003,A87-297015
Fayette,Asgrow A3659,A87-395012
Harper,A80-346029,A87-396020
Elf,A73D16,A87D20
A82-267015,Sherman,A88-121019
A8,Profiseed 1138,A88-121025
A82-267015,Sherman,A88-221005
Riverside 2024,Harper,A88-221006
A82-267015,Harper,A88-221020
BSR 101,Asgrow A1937,A89-144003
A89-144003,NA,A89-144003EMS-81
Jacques J231,A8,A89-144026
Unspecified,Unspecified,A89-144036
A85-182007,((Vinton 81*Pride B216)*A82-267015),A89-246006
Unspecified,Unspecified,A89-269039
(Hill Seed 2700*LS301),LS201,A90-314041
AgriPro AP2190,A86-301024,A91-501002
AX4735,HP202,A91-613001
AX4739,HP203,A91-613019
AX4741,HP204,A91-613026
AX4742,HP201,A91-613029
A86-301024,DeKalb 226,A91-701035
IA2008,Kenwood,A92-525004
IA2008,Kenwood,A92-525014
Unspecified,Unspecified,A92-525015
A20,Asgrow A2234,A92-526007
Unspecified,Unspecified,A92-535029
Asgrow A2187,((A87-186011*Dairyland DSR252)*A87-187020),A92-535059
Kenwood,LN86-1947,A92-625002
Kenwood,Asgrow A3205,A92-627030
A89-246006,LS301,A93-751019
Northrup King S19-90,Bell,A94-572028
Pioneer P9303,Kenwood,A94-674017
A90-314041,IA2012,A94-770016
Pioneer P9303,A87-395012,A94-770314
Pioneer P9303,A87-395012,A94-773014
Jack,(Pioneer P9273*A13),A95-483031
IA3001,A91-613026,A95-484015
A91-613026,A91-613029,A95-484031
A91-613001,A91-613026,A95-484041
A91-613001,A91-613026,A95-484043
(Pioneer P7273*A13),Jack,A95-485020
Marcus,Pioneer P9273,A95-581028
IA2017,(Pioneer P9303*A91-613019),A95-589009
Pioneer P9273,A89-144036,A95-682026
Unspecified,Unspecified,A95-684043
IA2033,AgriPro AP1995,A96-246029
Northrup King S24-92,Northrup King S19-90,A96-492041
IA3003,Northrup King S24-92,A96-492058
Northrup King S24-92,NA91-501002,A96-494018
IA3003,Pioneer P9273,A96-591033
Unspecified,Unspecified,A96-591046
Pioneer P9273,Northrup King S24-92,A96-591076
AgriPro AP3035,Pioneer P9273,A96-691030
Pioneer YB280,(Pioneer YB280*A29),A97-553017
Pioneer YB280,(Pioneer YB280*A29),A97-553018
Northrup King S20-20,Asgrow A2234,A97-770012
A92-535059,Pioneer P9273,A97-770031
Pioneer P9273,(A92-535059*IA1006),A97-770051
A92-627030,ORC9205,A97-771039
IA1006,A92-625002,A97-772024
Northrup King S20-20,(A92-535029*IA20121),A97-871009
A93-751019,IA3006,A97-874007
A93-751019,IA3006,A97-874014
LN90-4366,IA3005,A97-973002
Pioneer YB280,(Pioneer YB280*96LL2),A98-590014
Pioneer P9204,Pioneer P9281,A98-781041
IA2036,Pioneer P9281,A98-884037
HS93-4118,Northrup King S24-92,A98-980047
A94-770016,(IA1007*Pioneer P9304),A98-983013
IA2017,IA2042,A99-112003
IA2017,A95-484041,A99-112033
A95-484015,IA3011,A99-112034
A95-484043,A95-589009,A99-113038
IA2017,IA2042,A99-212014
IA3006,IA3011,A99-213052
IA3011,(A95-484041*A92-627030),A99-215025
IA2034,IA2042,A99-215030
IA2036,AgriPro AP1995,A99-216029
A94-773014,AgriPro AP1995,A99-216031
Dairyland DSR365,AgriPro Ap1995,A99-217006
IA2034,A95-484031,A99-312006
IA2034,IA2042,A99-312009
IA2034,A95-484031,A99-312028
IA3011,(A95-484041*A92-627030),A99-312052
Unspecified,Unspecified,AAK 2501 MOR
(BSR 101 (5)*Williams 82),(BSR 101 (5)*(Harosoy*Altona)),ABSR 101BC
Maple Arrow,Wayne,AC Bravor
(Maple Presto*Williams),Weber,AC Harmony
(Merit*PI 153293),(PI 189950*Maple Arrow (3)),AC Proteus
PI 60406,FC 04910,Acadian
Acadian,NA,Acadian 299
D77-6056,LS79-330,Accomac
Pagoda,NA,Acme
Merit,Norman,Ada
Illini,Dunfield,Adams
C1070,Adams,Adelphia
Simpson,M71-148,Agassiz
Unspecified,Unspecified,AGH33701
Unspecified,Unspecified,AgriPro AP02-05
Unspecified,Unspecified,AgriPro AP02-07
IVR 1120 (3),Steele,AgriPro AP1235
Beeson,Calland,AgriPro 25
C1426,Calland,AgriPro 26
Cutler,Calland,AgriPro 27
L15,Cutler,AgriPro 35
Unspecified,Unspecified,AgriPro AP1953
Beeson,Hark,AgriPro AP225C
AgriPro AP93652-P96-55048,NA,AgriPro AP01-5
AgriPro AP96596-B99-24476,NA,AgriPro AP02-01
AgriPro AP97023-A99-03284,NA,AgriPro AP03-01
AgriPro AP96289-A99-31240,NA,AgriPro AP03-03
AgriPro AP97026-N99-42648,NA,AgriPro AP03-04
AgriPro AP95341-A98-60618,NA,AgriPro AP03-05
AgriPro AP96596-B99-24476,NA,AgriPro AP03-06
Unspecified,Unspecified,AgriPro AP1490N
AgriPro AP26,Vickery,AgriPro AP1989
AgriPro AP1989,Asgrow A3427,AgriPro AP1995
CX407BC7-255,"Swift, AP200",AgriPro AP200
Unspecified,Unspecified,AgriPro AP2190
Beeson,Calland,AgriPro AP26
Unspecified,Unspecified,AgriPro AP2918
Unspecified,Unspecified,AgriPro AP3035
Unspecified,Unspecified,AgriPro AP3355
L15,Cutler,AgriPro AP35
Unspecified,Unspecified,AgriPro AP4882
Unspecified,Unspecified,AgriPro AP93652-P96-55048
Unspecified,Unspecified,AgriPro AP95341-A98-60618
Unspecified,Unspecified,AgriPro AP96289-A99-31240
Unspecified,Unspecified,AgriPro AP96596-B99-24476
Unspecified,Unspecified,AgriPro AP97023-A99-03284
Unspecified,Unspecified,AgriPro AP97026-N99-42648
Unspecified,Unspecified,AgriPro AP97144-A00-15133
Unspecified,Unspecified,AgriPro AP97144-A00-19136
Unspecified,Unspecified,AgriPro AP97199-A00-10391
Unspecified,Unspecified,AgriPro AP97284-N00-47977
Unspecified,Unspecified,AgriPro AP97611-B00-37197
Unspecified,Unspecified,AgriPro AP98180-A01-06131
Unspecified,Unspecified,AgriPro AP98194-A01-27440
Unspecified,Unspecified,AgriPro AP98620-B01-51163
Unspecified,Unspecified,AgriPro AP98633-B01-44373
Unspecified,Unspecified,AgriPro AP99022-A01-1228
SD01-76R (4),Dowling,AgriPro APX04-76-6
Unspecified,Unspecified,AgriPro APXC2284N
Rampage,Hark,Agripro HP 20-20
L15,C1431,Agripro HP 2530
Unspecified,Unspecified,AgriPro X01138P77
Unspecified,Unspecified,AgriPro X991A25
Unspecified,Unspecified,AgriPro XC21Y07
Unspecified,Unspecified,AgriPro XC29B34
Unspecified,Unspecified,AgriPro XC31Y31
Unspecified,Unspecified,AgriPro XC32Y06
Unspecified,Unspecified,AgSouth AGS606RR
G99-4158,Pioneer P97M50,AgSouth AGS738RR
Unspecified,Unspecified,AgSouth AGS758RR
G95-346,Hartz H7242 RR,AgSouth AGS787RR
Prichard RR,SC96-1476,AgSouth AGS828RR
Pella (5),Williams 82,AHW-Pella BC
Illini,NA,AK114
Introduction,NA,Akiyoshi
5601T (3),(TN93-99 (3)*MON RR),ALLEN
Fayette,McCall,Alpha
Flambeau,052-903,Altona
Amsoy 71,Corsoy,Amcor
Amcor,Williams 82,Amcor 89
Adams,Harosoy,Amsoy
Amsoy (8),C1253,Amsoy 71
introduction,PI 524993,Amurskaja 41
Holladay,Hartwig,Anand
Unspecified,Unspecified,Anand-1-CYST02
Unspecified,Unspecified,Anand-4-CYST02
Lincoln,NA,Anderson
Various,NA,Ankur
Korean,M42-37,Anoka
PI 81043,NA,Aoda
Unspecified,Unspecified,AP 26
Unspecified,Unspecified,AP X0121B74
Various,NA,AP6
Clark (5),PI 84946-2,AP68-1016
Clark (5),PI 84946-2,AP68-1022
Clark (5),PI 84946-2,AP68-1119
Clark (5),PI 84946-2,AP68-1216
Various,NA,AP6M
Various,NA,AP6TW(2YT)(F4)C2
Various,NA,AP9
Unspecified,Unspecified,AP93046-A95-3127E
Northrup King S23-12,Elgin 87,Apollo
Pioneer P9233,A96-591033,AR02-101001
Unspecified,Unspecified,AR02-101002
(PI 507354*Marcus),IA1008,AR03-161009
(Marcus*PI 507354),IA2036,AR03-161013
Ripley,IA1008,AR03-163008
LS90-1920,IA1008,AR03-263051
IA1009,LS90-1920,AR03-361019 &nbsp;&nbsp;
IA1009,Ripley,AR03-361033
IA1008,Ripley,AR03-361065
Unspecified,Unspecified,AR03-361067
Pioneer P9233,A95-682026,AR04-874013
Pioneer P9233,A95-682026,AR04-874018 &nbsp;&nbsp;
Pioneer P9233,(Pioneer P9273*(Jacques J231*A8)),AR04-874024
Hei-lung,Loda,AR05-250117
(Williams 82*BSR 101),(PRX 54-59*BSR 101),Archer
PI 35335,NA,Arksoy
Arksoy,NA,Arksoy 2913
Mamredo,NA,Armredo
Unspecified,Unspecified,Asgrow 02-6
Unspecified,Unspecified,Asgrow 03-1
Hark,C1453,Asgrow A1564
Asgrow A2575,L73-827,Asgrow A1895
Unspecified,Unspecified,Asgrow A1929
Hodgson,D3003,Asgrow A1937
A2,Asgrow A2527,Asgrow A2187
(Calland*Amsoy),(Century (3)*Williams 82),Asgrow A2234
Sherman,XP1928,Asgrow A2242
CM214,Asgrow A2943,Asgrow A2396
Amsoy,Soysota,Asgrow A2440
Unspecified,Unspecified,Asgrow A2527
C1453,Amsoy 71,Asgrow A2575
M60-406,W35-184,Asgrow A2656
Asgrow A1564,Asgrow A3127,Asgrow A2943
Unspecified,Unspecified,Asgrow A3017
Williams,Essex,Asgrow A3127
Northrup King S1474,Asgrow A3127,Asgrow A3205
Fayette,Asgrow A2943,Asgrow A3242
Beeson,Calland,Asgrow A3300
Asgrow A4268,(Williams*Mack),Asgrow A3322
Asgrow X3836,Asgrow A3127,Asgrow A3427
L66L-140,Cutler,Asgrow A3585
Williams,Essex,Asgrow A3659
Elf,Asgrow A3127,Asgrow A3733
Williams,Essex,Asgrow A3860
M0474C,Asgrow A3127,Asgrow A3935
Williams,Essex,Asgrow A3966
Williams,Essex,Asgrow A4268
Asgrow XP4136,Elf,Asgrow A4393
Asgrow A5474,(Douglas*Asgrow A3127),Asgrow A4715
Unspecified,Unspecified,Asgrow A5112
Williams,Essex,Asgrow A5424
(Tracy*D71-6234),J74-122,Asgrow A5474
(Tracy*D5064),Bedford,Asgrow A5475
Hutcheson,Asgrow A5403,Asgrow A5843
Asgrow X5512,Asgrow X5803,Asgrow A5885
Young,Asgrow A5474,Asgrow A5979
(Tracy *D71-6234),J74-122,Asgrow A5980
Young,Asgrow A5474,Asgrow A6297
Young,D74-7741,Asgrow A6785
Asgrow A1564,Asgrow A3127,Asgrow A9243
Unspecified,Unspecified,Asgrow A9309
Unspecified,Unspecified,Asgrow A9641
Unspecified,Unspecified,Asgrow AG3803
Unspecified,Unspecified,Asgrow AG3934RR2Y
Unspecified,Unspecified,Asgrow AG4103
Unspecified,Unspecified,Asgrow AG4232RR2Y
Unspecified,Unspecified,Asgrow AG4403
Unspecified,Unspecified,Asgrow AG4632RR2Y
Unspecified,Unspecified,Asgrow AG4903
